Date_Time,Active_Power
2025-01-20 10:00:42,92.78900146484375,67.13099670410156
2025-01-20 10:01:43,94.09600067138672,68.18399810791016
2025-01-20 10:02:42,95.1709976196289,68.88800048828125
2025-01-20 10:03:42,96.70800018310547,69.58499908447266
2025-01-20 10:04:43,98.70500183105469,70.64600372314453
2025-01-20 10:05:44,99.72599792480469,72.00299835205078
2025-01-20 10:06:42,101.8239974975586,73.4800033569336
2025-01-20 10:07:42,103.04299926757812,74.43299865722656
2025-01-20 10:08:43,104.51399993896484,75.6729965209961
2025-01-20 10:09:43,106.54199981689453,77.24199676513672
2025-01-20 10:10:42,108.16999816894531,78.47200012207031
2025-01-20 10:11:43,110.81600189208984,79.90899658203125
2025-01-20 10:12:42,111.86000061035156,80.84700012207031
2025-01-20 10:13:43,113.16999816894531,82.1240005493164
2025-01-20 10:14:43,115.7760009765625,84.61100006103516
2025-01-20 10:15:43,118.02100372314453,86.54000091552734
2025-01-20 10:16:43,123.46399688720703,89.8949966430664
2025-01-20 10:17:42,127.44599914550781,93.51499938964844
2025-01-20 10:18:43,136.89700317382812,97.01200103759766
2025-01-20 10:19:43,140.86300659179688,103.71700286865234
2025-01-20 10:20:43,143.91299438476562,104.38200378417969
2025-01-20 10:21:43,145.125,105.21700286865234
2025-01-20 10:22:42,153.677001953125,111.28299713134766
2025-01-20 10:23:43,148.81900024414062,108.43299865722656
2025-01-20 10:24:43,149.4770050048828,110.08699798583984
2025-01-20 10:25:42,153.86500549316406,112.23799896240234
2025-01-20 10:26:43,154.88099670410156,113.2760009765625
2025-01-20 10:27:43,161.09800720214844,119.40599822998047
2025-01-20 10:28:42,165.8419952392578,119.57599639892578
2025-01-20 10:29:43,155.593994140625,111.79299926757812
2025-01-20 10:30:42,151.61599731445312,109.14600372314453
2025-01-20 10:31:43,156.10000610351562,114.35199737548828
2025-01-20 10:32:43,156.0679931640625,114.99500274658203
2025-01-20 10:33:42,155.0850067138672,113.93499755859375
2025-01-20 10:34:42,153.26400756835938,112.96199798583984
2025-01-20 10:35:43,156.53700256347656,115.625
2025-01-20 10:36:42,178.98899841308594,128.99200439453125
2025-01-20 10:37:43,176.41600036621094,127.37200164794922
2025-01-20 10:38:43,173.2050018310547,129.11700439453125
2025-01-20 10:39:43,184.9929962158203,126.82599639892578
2025-01-20 10:40:43,161.08700561523438,115.22000122070312
2025-01-20 10:41:43,160.05099487304688,116.96800231933594
2025-01-20 10:42:42,163.1750030517578,119.9020004272461
2025-01-20 10:43:43,163.70899963378906,121.64800262451172
2025-01-20 10:44:43,218.43699645996094,148.86300659179688
2025-01-20 10:45:43,201.30799865722656,146.53799438476562
2025-01-20 10:46:43,183.6820068359375,151.36500549316406
2025-01-20 10:47:43,241.09300231933594,187.9949951171875
2025-01-20 10:48:43,181.3419952392578,132.9770050048828
2025-01-20 10:49:43,215.1510009765625,163.27200317382812
2025-01-20 10:50:43,266.218994140625,180.74600219726562
2025-01-20 10:51:43,238.06199645996094,200.7760009765625
